date,value
Nov-08,4.76
Dec-08,4.39
Jan-09,3.74
Feb-09,3.16
Mar-09,3.16
Apr-09,3.1
May-09,3.13
Jun-09,3.25
Jul-09,3.14
Aug-09,3.3
Sep-09,3.37
Oct-09,3.78
Nov-09,3.95
Dec-09,4.13
Jan-10,4.2
Feb-10,4.16
Mar-10,4.33
Apr-10,4.55
May-10,4.81
Jun-10,4.89
Jul-10,4.84
Aug-10,4.74
Sep-10,4.82
Oct-10,4.81
Nov-10,5.02
Dec-10,5.03
Jan-11,4.96
Feb-11,4.92
Mar-11,4.92
Apr-11,4.9
May-11,5
Jun-11,4.99
Jul-11,4.96
Aug-11,4.86
Sep-11,4.81
Oct-11,4.73
Nov-11,4.62
Dec-11,4.51
Jan-12,4.41
Feb-12,4.37
Mar-12,4.44
Apr-12,4.2
May-12,3.66
Jun-12,3.49
Jul-12,3.55
Aug-12,3.62
Sep-12,3.49
Oct-12,3.16
Nov-12,3.24
Dec-12,3.11
Jan-13,3
Feb-13,2.94
Mar-13,3.05
Apr-13,3.02
May-13,2.82
Jun-13,2.8
Jul-13,2.76
Aug-13,2.6
Sep-13,2.58
Oct-13,2.58
Nov-13,2.58
Dec-13,2.6
Jan-14,2.62
Feb-14,2.63
Mar-14,2.65
Apr-14,2.68
May-14,2.69
Jun-14,2.7
Jul-14,2.65
Aug-14,2.63
Sep-14,2.66
Oct-14,2.72
Nov-14,2.75
Dec-14,2.75
Jan-15,2.7
Feb-15,2.36
Mar-15,2.3
Apr-15,2.25
May-15,2.15
Jun-15,2.15
Jul-15,2.14
Aug-15,2.14
Sep-15,2.17
Oct-15,2.15
Nov-15,2.22
Dec-15,2.34
Jan-16,2.3
Feb-16,2.28
Mar-16,2.31
Apr-16,2.26
May-16,2
Jun-16,1.99
Jul-16,1.93
Aug-16,1.76
Sep-16,1.73
Oct-16,1.74
Nov-16,1.76
Dec-16,1.78
Jan-17,1.78
Feb-17,1.78
Mar-17,1.79
Apr-17,1.77
May-17,1.73
Jun-17,1.72
Jul-17,1.7
Aug-17,1.7
Sep-17,1.72
Oct-17,1.7
Nov-17,1.72
Dec-17,1.77
Jan-18,1.79
Feb-18,1.77
Mar-18,1.93
Apr-18,2.06
May-18,1.96
Jun-18,2.07
Jul-18,2.02
Aug-18,1.96
Sep-18,1.93
Oct-18,1.93
Nov-18,1.94
Dec-18,2.02
Jan-19,2.07
Feb-19,1.96
Mar-19,1.83
Apr-19,1.68
May-19,1.54
Jun-19,1.29
Jul-19,1.11
Aug-19,0.98
Sep-19,0.98
Oct-19,0.88
Nov-19,0.91
Dec-19,0.9
Jan-20,0.89
Feb-20,0.89
Mar-20,0.53
Apr-20,0.17
May-20,0.1
Jun-20,0.1
Jul-20,0.1
Aug-20,0.1
Sep-20,0.09
Oct-20,0.07
Nov-20,0.02
Dec-20,0.02
Jan-21,0.01
Feb-21,0.01
Mar-21,0.03
Apr-21,0.04
May-21,0.04
Jun-21,0.03
Jul-21,0.02
Aug-21,0.01
Sep-21,0.01
Oct-21,0.04
Nov-21,0.04
Dec-21,0.06
Jan-22,0.07
Feb-22,0.07
Mar-22,0.17
